2026-01-07 05:48:17 | INFO | root | Purified data 12, shape: torch.Size([1, 62, 1000]), mse:0.20165041089057922, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:48:17 | INFO | root | 
2026-01-07 05:48:17 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:48:18 | INFO | root | End purification for resolution 128*128, loss=0.04633963853120804, iterations=256
2026-01-07 05:48:19 | INFO | root | End purification for resolution 256*256, loss=0.0685117170214653, iterations=256
2026-01-07 05:48:21 | INFO | root | End purification for resolution 512*512, loss=0.17533671855926514, iterations=512
2026-01-07 05:48:25 | INFO | root | End purification for resolution 1024*1024, loss=0.2352367639541626, iterations=1024
2026-01-07 05:48:25 | INFO | root | Training time: 7.441019773483276, loss: 0.2352367639541626, params_num: 22318
2026-01-07 05:48:25 | INFO | root | Purified data 13, shape: torch.Size([1, 62, 1000]), mse:0.29332414269447327, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:48:25 | INFO | root | 
2026-01-07 05:48:25 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:48:26 | INFO | root | End purification for resolution 128*128, loss=0.05859929695725441, iterations=256
2026-01-07 05:48:27 | INFO | root | End purification for resolution 256*256, loss=0.0815572589635849, iterations=256
2026-01-07 05:48:29 | INFO | root | End purification for resolution 512*512, loss=0.13346806168556213, iterations=512
2026-01-07 05:48:34 | INFO | root | End purification for resolution 1024*1024, loss=0.15952354669570923, iterations=1024
2026-01-07 05:48:34 | INFO | root | Training time: 8.692307710647583, loss: 0.15952354669570923, params_num: 22318
2026-01-07 05:48:34 | INFO | root | Purified data 14, shape: torch.Size([1, 62, 1000]), mse:0.19413350522518158, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:48:34 | INFO | root | 
2026-01-07 05:48:34 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:48:35 | INFO | root | End purification for resolution 128*128, loss=0.05379457771778107, iterations=256
2026-01-07 05:48:36 | INFO | root | End purification for resolution 256*256, loss=0.05907730013132095, iterations=256
2026-01-07 05:48:38 | INFO | root | End purification for resolution 512*512, loss=0.10581120103597641, iterations=512
2026-01-07 05:48:42 | INFO | root | End purification for resolution 1024*1024, loss=0.12816336750984192, iterations=1024
2026-01-07 05:48:42 | INFO | root | Training time: 7.626318454742432, loss: 0.12816336750984192, params_num: 22318
2026-01-07 05:48:42 | INFO | root | Purified data 15, shape: torch.Size([1, 62, 1000]), mse:0.15766099095344543, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:48:42 | INFO | root | 
2026-01-07 05:48:42 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:48:43 | INFO | root | End purification for resolution 128*128, loss=0.04649922624230385, iterations=256
2026-01-07 05:48:44 | INFO | root | End purification for resolution 256*256, loss=0.06993307918310165, iterations=256
2026-01-07 05:48:46 | INFO | root | End purification for resolution 512*512, loss=0.14638356864452362, iterations=512
2026-01-07 05:48:50 | INFO | root | End purification for resolution 1024*1024, loss=0.1850198656320572, iterations=1024
2026-01-07 05:48:50 | INFO | root | Training time: 7.668061971664429, loss: 0.1850198656320572, params_num: 22318
2026-01-07 05:48:50 | INFO | root | Purified data 16, shape: torch.Size([1, 62, 1000]), mse:0.230306014418602, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:48:50 | INFO | root | 
2026-01-07 05:48:50 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:48:51 | INFO | root | End purification for resolution 128*128, loss=0.059194039553403854, iterations=256
2026-01-07 05:48:52 | INFO | root | End purification for resolution 256*256, loss=0.07333873212337494, iterations=256
2026-01-07 05:48:54 | INFO | root | End purification for resolution 512*512, loss=0.12118540704250336, iterations=512
2026-01-07 05:48:58 | INFO | root | End purification for resolution 1024*1024, loss=0.145395889878273, iterations=1024
2026-01-07 05:48:58 | INFO | root | Training time: 7.7595202922821045, loss: 0.145395889878273, params_num: 22318
2026-01-07 05:48:58 | INFO | root | Purified data 17, shape: torch.Size([1, 62, 1000]), mse:0.18093422055244446, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:48:58 | INFO | root | 
2026-01-07 05:48:58 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:48:59 | INFO | root | End purification for resolution 128*128, loss=0.032185208052396774, iterations=256
2026-01-07 05:49:00 | INFO | root | End purification for resolution 256*256, loss=0.03658986836671829, iterations=256
2026-01-07 05:49:02 | INFO | root | End purification for resolution 512*512, loss=0.0708465650677681, iterations=512
2026-01-07 05:49:06 | INFO | root | End purification for resolution 1024*1024, loss=0.08886037021875381, iterations=1024
2026-01-07 05:49:06 | INFO | root | Training time: 7.614355564117432, loss: 0.08886037021875381, params_num: 22318
2026-01-07 05:49:06 | INFO | root | Purified data 18, shape: torch.Size([1, 62, 1000]), mse:0.10905380547046661, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:49:06 | INFO | root | 
2026-01-07 05:49:06 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:49:07 | INFO | root | End purification for resolution 128*128, loss=0.05564052239060402, iterations=256
2026-01-07 05:49:08 | INFO | root | End purification for resolution 256*256, loss=0.08375602215528488, iterations=256
2026-01-07 05:49:10 | INFO | root | End purification for resolution 512*512, loss=0.16419172286987305, iterations=512
2026-01-07 05:49:13 | INFO | root | End purification for resolution 1024*1024, loss=0.20061837136745453, iterations=1024
2026-01-07 05:49:13 | INFO | root | Training time: 7.537884473800659, loss: 0.20061837136745453, params_num: 22318
2026-01-07 05:49:14 | INFO | root | Purified data 19, shape: torch.Size([1, 62, 1000]), mse:0.2508498430252075, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:49:14 | INFO | root | 
2026-01-07 05:49:14 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:49:15 | INFO | root | End purification for resolution 128*128, loss=0.039429061114788055, iterations=256
2026-01-07 05:49:16 | INFO | root | End purification for resolution 256*256, loss=0.048645276576280594, iterations=256
2026-01-07 05:49:17 | INFO | root | End purification for resolution 512*512, loss=0.0969037190079689, iterations=512
2026-01-07 05:49:21 | INFO | root | End purification for resolution 1024*1024, loss=0.12145484983921051, iterations=1024
2026-01-07 05:49:21 | INFO | root | Training time: 7.5756309032440186, loss: 0.12145484983921051, params_num: 22318
2026-01-07 05:49:21 | INFO | root | Purified data 20, shape: torch.Size([1, 62, 1000]), mse:0.1476820558309555, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:49:21 | INFO | root | 
2026-01-07 05:49:22 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:49:23 | INFO | root | End purification for resolution 128*128, loss=0.05129114165902138, iterations=256
2026-01-07 05:49:24 | INFO | root | End purification for resolution 256*256, loss=0.0791262537240982, iterations=256
2026-01-07 05:49:25 | INFO | root | End purification for resolution 512*512, loss=0.1557692289352417, iterations=512
2026-01-07 05:49:29 | INFO | root | End purification for resolution 1024*1024, loss=0.19165176153182983, iterations=1024
2026-01-07 05:49:29 | INFO | root | Training time: 7.897916078567505, loss: 0.19165176153182983, params_num: 22318
2026-01-07 05:49:30 | INFO | root | Purified data 21, shape: torch.Size([1, 62, 1000]), mse:0.2401389479637146, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:49:30 | INFO | root | 
2026-01-07 05:49:30 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:49:31 | INFO | root | End purification for resolution 128*128, loss=0.04776938632130623, iterations=256
2026-01-07 05:49:32 | INFO | root | End purification for resolution 256*256, loss=0.08058218657970428, iterations=256
2026-01-07 05:49:34 | INFO | root | End purification for resolution 512*512, loss=0.16841177642345428, iterations=512
2026-01-07 05:49:38 | INFO | root | End purification for resolution 1024*1024, loss=0.21036577224731445, iterations=1024
2026-01-07 05:49:38 | INFO | root | Training time: 8.204052686691284, loss: 0.21036577224731445, params_num: 22318
2026-01-07 05:49:38 | INFO | root | Purified data 22, shape: torch.Size([1, 62, 1000]), mse:0.26056912541389465, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:49:38 | INFO | root | 
2026-01-07 05:49:38 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:49:39 | INFO | root | End purification for resolution 128*128, loss=0.054290007799863815, iterations=256
2026-01-07 05:49:40 | INFO | root | End purification for resolution 256*256, loss=0.08932685852050781, iterations=256
2026-01-07 05:49:42 | INFO | root | End purification for resolution 512*512, loss=0.1702415645122528, iterations=512
2026-01-07 05:49:46 | INFO | root | End purification for resolution 1024*1024, loss=0.20851844549179077, iterations=1024
2026-01-07 05:49:46 | INFO | root | Training time: 8.174723148345947, loss: 0.20851844549179077, params_num: 22318
2026-01-07 05:49:47 | INFO | root | Purified data 23, shape: torch.Size([1, 62, 1000]), mse:0.25769320130348206, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:49:47 | INFO | root | 
2026-01-07 05:49:47 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:49:48 | INFO | root | End purification for resolution 128*128, loss=0.03367769718170166, iterations=256
2026-01-07 05:49:49 | INFO | root | End purification for resolution 256*256, loss=0.04999023675918579, iterations=256
2026-01-07 05:49:51 | INFO | root | End purification for resolution 512*512, loss=0.11407336592674255, iterations=512
2026-01-07 05:49:55 | INFO | root | End purification for resolution 1024*1024, loss=0.1430339366197586, iterations=1024
2026-01-07 05:49:55 | INFO | root | Training time: 7.850546360015869, loss: 0.1430339366197586, params_num: 22318
2026-01-07 05:49:55 | INFO | root | Purified data 24, shape: torch.Size([1, 62, 1000]), mse:0.17431923747062683, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:49:55 | INFO | root | 
2026-01-07 05:49:55 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:49:56 | INFO | root | End purification for resolution 128*128, loss=0.03867688030004501, iterations=256
2026-01-07 05:49:58 | INFO | root | End purification for resolution 256*256, loss=0.062186699360609055, iterations=256
2026-01-07 05:50:00 | INFO | root | End purification for resolution 512*512, loss=0.14222297072410583, iterations=512
2026-01-07 05:50:04 | INFO | root | End purification for resolution 1024*1024, loss=0.1898970901966095, iterations=1024
2026-01-07 05:50:04 | INFO | root | Training time: 8.442737817764282, loss: 0.1898970901966095, params_num: 22318
2026-01-07 05:50:04 | INFO | root | Purified data 25, shape: torch.Size([1, 62, 1000]), mse:0.23779137432575226, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:50:04 | INFO | root | 
2026-01-07 05:50:04 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:50:05 | INFO | root | End purification for resolution 128*128, loss=0.05177329480648041, iterations=256
2026-01-07 05:50:06 | INFO | root | End purification for resolution 256*256, loss=0.09121987223625183, iterations=256
2026-01-07 05:50:08 | INFO | root | End purification for resolution 512*512, loss=0.16408880054950714, iterations=512
2026-01-07 05:50:11 | INFO | root | End purification for resolution 1024*1024, loss=0.19619692862033844, iterations=1024
2026-01-07 05:50:11 | INFO | root | Training time: 7.126190423965454, loss: 0.19619692862033844, params_num: 22318
2026-01-07 05:50:11 | INFO | root | Purified data 26, shape: torch.Size([1, 62, 1000]), mse:0.24048742651939392, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:50:11 | INFO | root | 
2026-01-07 05:50:12 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:50:13 | INFO | root | End purification for resolution 128*128, loss=0.03261309489607811, iterations=256
2026-01-07 05:50:13 | INFO | root | End purification for resolution 256*256, loss=0.04424728453159332, iterations=256
2026-01-07 05:50:15 | INFO | root | End purification for resolution 512*512, loss=0.09791142493486404, iterations=512
2026-01-07 05:50:19 | INFO | root | End purification for resolution 1024*1024, loss=0.12656418979167938, iterations=1024
2026-01-07 05:50:19 | INFO | root | Training time: 7.518789291381836, loss: 0.12656418979167938, params_num: 22318
2026-01-07 05:50:19 | INFO | root | Purified data 27, shape: torch.Size([1, 62, 1000]), mse:0.15659356117248535, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:50:19 | INFO | root | 
2026-01-07 05:50:19 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:50:20 | INFO | root | End purification for resolution 128*128, loss=0.04919835552573204, iterations=256
2026-01-07 05:50:21 | INFO | root | End purification for resolution 256*256, loss=0.06650862097740173, iterations=256
2026-01-07 05:50:23 | INFO | root | End purification for resolution 512*512, loss=0.11996863037347794, iterations=512
2026-01-07 05:50:27 | INFO | root | End purification for resolution 1024*1024, loss=0.1459532529115677, iterations=1024
2026-01-07 05:50:27 | INFO | root | Training time: 7.542401313781738, loss: 0.1459532529115677, params_num: 22318
2026-01-07 05:50:27 | INFO | root | Purified data 28, shape: torch.Size([1, 62, 1000]), mse:0.18078063428401947, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:50:27 | INFO | root | 
2026-01-07 05:50:27 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:50:28 | INFO | root | End purification for resolution 128*128, loss=0.04892988130450249, iterations=256
2026-01-07 05:50:29 | INFO | root | End purification for resolution 256*256, loss=0.07333263754844666, iterations=256
2026-01-07 05:50:31 | INFO | root | End purification for resolution 512*512, loss=0.1344834268093109, iterations=512
2026-01-07 05:50:35 | INFO | root | End purification for resolution 1024*1024, loss=0.16493581235408783, iterations=1024
2026-01-07 05:50:35 | INFO | root | Training time: 8.16116189956665, loss: 0.16493581235408783, params_num: 22318
2026-01-07 05:50:35 | INFO | root | Purified data 29, shape: torch.Size([1, 62, 1000]), mse:0.20036272704601288, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:50:35 | INFO | root | 
2026-01-07 05:50:36 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 05:50:37 | INFO | root | End purification for resolution 128*128, loss=0.05761449784040451, iterations=256
2026-01-07 05:50:38 | INFO | root | End purification for resolution 256*256, loss=0.09755683690309525, iterations=256
2026-01-07 05:50:40 | INFO | root | End purification for resolution 512*512, loss=0.19509531557559967, iterations=512
2026-01-07 05:50:44 | INFO | root | End purification for resolution 1024*1024, loss=0.23318132758140564, iterations=1024
2026-01-07 05:50:44 | INFO | root | Training time: 8.278251886367798, loss: 0.23318132758140564, params_num: 22318
2026-01-07 05:50:44 | INFO | root | Purified data 30, shape: torch.Size([1, 62, 1000]), mse:0.2895631194114685, compression rate: 0.35996774193548386, 2.778026704901873x
2026-01-07 05:50:44 | INFO | root | 
