2026-01-05 18:07:21 | INFO | root | End purification for resolution 1024*1024, loss=0.38967952132225037, iterations=512
2026-01-05 18:07:26 | INFO | root | End purification for resolution 2048*2048, loss=0.40412023663520813, iterations=1024
2026-01-05 18:07:26 | INFO | root | Training time: 9.303545713424683, loss: 0.40412023663520813, params_num: 1175
2026-01-05 18:07:26 | INFO | root | Purified data 15, shape: torch.Size([1, 22, 1750]), mse:0.7559798955917358, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:07:26 | INFO | root | 
2026-01-05 18:07:26 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:07:28 | INFO | root | End purification for resolution 256*256, loss=0.3503349721431732, iterations=256
2026-01-05 18:07:29 | INFO | root | End purification for resolution 512*512, loss=0.34774768352508545, iterations=256
2026-01-05 18:07:31 | INFO | root | End purification for resolution 1024*1024, loss=0.38504183292388916, iterations=512
2026-01-05 18:07:36 | INFO | root | End purification for resolution 2048*2048, loss=0.3984089493751526, iterations=1024
2026-01-05 18:07:36 | INFO | root | Training time: 9.486299991607666, loss: 0.3984089493751526, params_num: 1175
2026-01-05 18:07:36 | INFO | root | Purified data 16, shape: torch.Size([1, 22, 1750]), mse:0.7324877381324768, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:07:36 | INFO | root | 
2026-01-05 18:07:36 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:07:37 | INFO | root | End purification for resolution 256*256, loss=0.40062469244003296, iterations=256
2026-01-05 18:07:39 | INFO | root | End purification for resolution 512*512, loss=0.3934437036514282, iterations=256
2026-01-05 18:07:41 | INFO | root | End purification for resolution 1024*1024, loss=0.42002105712890625, iterations=512
2026-01-05 18:07:46 | INFO | root | End purification for resolution 2048*2048, loss=0.4344283640384674, iterations=1024
2026-01-05 18:07:46 | INFO | root | Training time: 9.9412100315094, loss: 0.4344283640384674, params_num: 1175
2026-01-05 18:07:46 | INFO | root | Purified data 17, shape: torch.Size([1, 22, 1750]), mse:0.7771531343460083, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:07:46 | INFO | root | 
2026-01-05 18:07:46 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:07:47 | INFO | root | End purification for resolution 256*256, loss=0.4109290838241577, iterations=256
2026-01-05 18:07:48 | INFO | root | End purification for resolution 512*512, loss=0.3501776158809662, iterations=256
2026-01-05 18:07:51 | INFO | root | End purification for resolution 1024*1024, loss=0.3659522831439972, iterations=512
2026-01-05 18:07:55 | INFO | root | End purification for resolution 2048*2048, loss=0.37594738602638245, iterations=1024
2026-01-05 18:07:55 | INFO | root | Training time: 9.233161211013794, loss: 0.37594738602638245, params_num: 1175
2026-01-05 18:07:55 | INFO | root | Purified data 18, shape: torch.Size([1, 22, 1750]), mse:0.6946366429328918, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:07:55 | INFO | root | 
2026-01-05 18:07:56 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:07:57 | INFO | root | End purification for resolution 256*256, loss=0.4246596395969391, iterations=256
2026-01-05 18:07:58 | INFO | root | End purification for resolution 512*512, loss=0.3390081226825714, iterations=256
2026-01-05 18:08:00 | INFO | root | End purification for resolution 1024*1024, loss=0.3423961400985718, iterations=512
2026-01-05 18:08:06 | INFO | root | End purification for resolution 2048*2048, loss=0.349228173494339, iterations=1024
2026-01-05 18:08:06 | INFO | root | Training time: 9.959453105926514, loss: 0.349228173494339, params_num: 1175
2026-01-05 18:08:06 | INFO | root | Purified data 19, shape: torch.Size([1, 22, 1750]), mse:0.646327793598175, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:08:06 | INFO | root | 
2026-01-05 18:08:06 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:08:07 | INFO | root | End purification for resolution 256*256, loss=0.3918124735355377, iterations=256
2026-01-05 18:08:09 | INFO | root | End purification for resolution 512*512, loss=0.39110034704208374, iterations=256
2026-01-05 18:08:12 | INFO | root | End purification for resolution 1024*1024, loss=0.4056040644645691, iterations=512
2026-01-05 18:08:16 | INFO | root | End purification for resolution 2048*2048, loss=0.4156642258167267, iterations=1024
2026-01-05 18:08:16 | INFO | root | Training time: 10.521395921707153, loss: 0.4156642258167267, params_num: 1175
2026-01-05 18:08:17 | INFO | root | Purified data 20, shape: torch.Size([1, 22, 1750]), mse:0.7822812795639038, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:08:17 | INFO | root | 
2026-01-05 18:08:17 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:08:19 | INFO | root | End purification for resolution 256*256, loss=0.3834039270877838, iterations=256
2026-01-05 18:08:20 | INFO | root | End purification for resolution 512*512, loss=0.3622496426105499, iterations=256
2026-01-05 18:08:24 | INFO | root | End purification for resolution 1024*1024, loss=0.3953268826007843, iterations=512
2026-01-05 18:08:29 | INFO | root | End purification for resolution 2048*2048, loss=0.4125843942165375, iterations=1024
2026-01-05 18:08:29 | INFO | root | Training time: 12.031290531158447, loss: 0.4125843942165375, params_num: 1175
2026-01-05 18:08:29 | INFO | root | Purified data 21, shape: torch.Size([1, 22, 1750]), mse:0.7645753622055054, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:08:29 | INFO | root | 
2026-01-05 18:08:30 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:08:32 | INFO | root | End purification for resolution 256*256, loss=0.4570622742176056, iterations=256
2026-01-05 18:08:33 | INFO | root | End purification for resolution 512*512, loss=0.36129117012023926, iterations=256
2026-01-05 18:08:37 | INFO | root | End purification for resolution 1024*1024, loss=0.3717922568321228, iterations=512
2026-01-05 18:08:42 | INFO | root | End purification for resolution 2048*2048, loss=0.37621450424194336, iterations=1024
2026-01-05 18:08:42 | INFO | root | Training time: 11.580736637115479, loss: 0.37621450424194336, params_num: 1175
2026-01-05 18:08:43 | INFO | root | Purified data 22, shape: torch.Size([1, 22, 1750]), mse:0.6455082297325134, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:08:43 | INFO | root | 
2026-01-05 18:08:43 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:08:46 | INFO | root | End purification for resolution 256*256, loss=0.4067957401275635, iterations=256
2026-01-05 18:08:47 | INFO | root | End purification for resolution 512*512, loss=0.29280585050582886, iterations=256
2026-01-05 18:08:50 | INFO | root | End purification for resolution 1024*1024, loss=0.302788645029068, iterations=512
2026-01-05 18:08:56 | INFO | root | End purification for resolution 2048*2048, loss=0.3154574930667877, iterations=1024
2026-01-05 18:08:56 | INFO | root | Training time: 11.454163312911987, loss: 0.3154574930667877, params_num: 1175
2026-01-05 18:08:56 | INFO | root | Purified data 23, shape: torch.Size([1, 22, 1750]), mse:0.5861659646034241, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:08:56 | INFO | root | 
2026-01-05 18:08:56 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:08:57 | INFO | root | End purification for resolution 256*256, loss=0.40760454535484314, iterations=256
2026-01-05 18:08:58 | INFO | root | End purification for resolution 512*512, loss=0.3951917588710785, iterations=256
