dataset,model,method,attack,scope,rank,metric,seed_count,seeds,status,mean,sample_std
thubenchmark,tsception,madry,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.48823167469234885,0.029178019144375174
thubenchmark,tsception,madry,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7962635990725878,0.023100065951361406
thubenchmark,tsception,madry,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.40388353843410024,0.02868413804130692
thubenchmark,tsception,madry,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7962635990725878,0.023100065951361406
thubenchmark,tsception,madry,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.0019279472088460853,0.0013684637270408233
thubenchmark,tsception,trades,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7899393615123952,0.025020264455386475
thubenchmark,tsception,trades,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.09086409844836811,0.01670591152235213
thubenchmark,tsception,trades,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7899393615123952,0.025020264455386475
thubenchmark,tsception,trades,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.17067683253076513,0.016885195257141376
thubenchmark,tsception,trades,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7899393615123952,0.025020264455386475
thubenchmark,tsception,trades,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.09686285000891742,0.017540918429253465
thubenchmark,tsception,trades,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7899393615123952,0.025020264455386475
thubenchmark,tsception,trades,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.00793829142143749,0.0034485604866193544
thubenchmark,tsception,fbf,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7933253076511504,0.00774176789075872
thubenchmark,tsception,fbf,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.05042357767076868,0.019014708656723486
thubenchmark,tsception,fbf,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7933253076511504,0.00774176789075872
thubenchmark,tsception,fbf,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.12082307829498841,0.021530242654925202
thubenchmark,tsception,fbf,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7933253076511504,0.00774176789075872
thubenchmark,tsception,fbf,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.056683609773497415,0.0195407059537896
thubenchmark,tsception,fbf,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7933253076511504,0.00774176789075872
thubenchmark,tsception,fbf,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.019598715890850722,0.01217808350867622
thubenchmark,tsception,ea_forward,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.017769752095594792,0.0022931626062195408
thubenchmark,tsception,ea_forward,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.017531656857499554,0.002343079840751582
thubenchmark,tsception,ea_forward,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.017769752095594792,0.0022931626062195408
thubenchmark,tsception,ea_forward,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.017769752095594792,0.0022931626062195408
thubenchmark,tsception,ea_forward,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.017769752095594792,0.0022931626062195408
thubenchmark,tsception,ea_forward,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.017531656857499554,0.002343079840751582
thubenchmark,tsception,ea_forward,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.017769752095594792,0.0022931626062195408
