dataset,model,seed,method,attack,scope,rank,metric,value,artifact
thubenchmark,eegnet,44,trades,cw,full_test,raw,clean,0.9321428571428572,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_trades_cw.pth
thubenchmark,eegnet,44,trades,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_trades_cw.pth
thubenchmark,eegnet,44,fbf,autoattack,full_test,raw,clean,0.9238095238095239,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_fbf_autoattack.pth
thubenchmark,eegnet,44,fbf,autoattack,full_test,raw,robust,0.530952380952381,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_fbf_autoattack.pth
thubenchmark,eegnet,44,fbf,fgsm,full_test,raw,clean,0.9238095238095239,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_fbf_fgsm.pth
thubenchmark,eegnet,44,fbf,fgsm,full_test,raw,robust,0.5821428571428572,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_fbf_fgsm.pth
thubenchmark,eegnet,44,fbf,pgd,full_test,raw,clean,0.9238095238095239,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_fbf_pgd.pth
thubenchmark,eegnet,44,fbf,pgd,full_test,raw,robust,0.530952380952381,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_fbf_pgd.pth
thubenchmark,eegnet,44,fbf,cw,full_test,raw,clean,0.9238095238095239,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_fbf_cw.pth
thubenchmark,eegnet,44,fbf,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_fbf_cw.pth
thubenchmark,eegnet,44,ea_forward,autoattack,full_test,raw,clean,0.9547619047619048,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_ea_forward_autoattack.pth
thubenchmark,eegnet,44,ea_forward,autoattack,full_test,raw,robust,0.2845238095238095,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_ea_forward_autoattack.pth
thubenchmark,eegnet,44,ea_forward,fgsm,full_test,raw,clean,0.9547619047619048,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_ea_forward_fgsm.pth
thubenchmark,eegnet,44,ea_forward,fgsm,full_test,raw,robust,0.5142857142857142,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_ea_forward_fgsm.pth
thubenchmark,eegnet,44,ea_forward,pgd,full_test,raw,clean,0.9547619047619048,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_ea_forward_pgd.pth
thubenchmark,eegnet,44,ea_forward,pgd,full_test,raw,robust,0.2976190476190476,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_ea_forward_pgd.pth
thubenchmark,eegnet,44,ea_forward,cw,full_test,raw,clean,0.9547619047619048,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_ea_forward_cw.pth
thubenchmark,eegnet,44,ea_forward,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_ea_forward_cw.pth
thubenchmark,eegnet,44,rpcf_at,autoattack,full_test,raw,clean,0.925,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed44_rpcf_at_autoattack.pth
