2025-11-27 16:49:22 | INFO | root | Epoch: 38, Train Loss: 0.0413, Val Acc: 0.9357, Val Loss: 0.2927, Test Acc: 0.9464, Test Loss: 0.2077, Learning Rate: 0.010000
2025-11-27 16:49:33 | INFO | root | Epoch: 39, Train Loss: 0.0347, Val Acc: 0.9345, Val Loss: 0.2878, Test Acc: 0.9321, Test Loss: 0.2382, Learning Rate: 0.010000
2025-11-27 16:49:44 | INFO | root | Epoch: 40, Train Loss: 0.0427, Val Acc: 0.9357, Val Loss: 0.2599, Test Acc: 0.9369, Test Loss: 0.2239, Learning Rate: 0.010000
2025-11-27 16:49:55 | INFO | root | Epoch: 41, Train Loss: 0.0414, Val Acc: 0.9369, Val Loss: 0.2978, Test Acc: 0.9369, Test Loss: 0.2101, Learning Rate: 0.005000
2025-11-27 16:50:05 | INFO | root | Epoch: 42, Train Loss: 0.0271, Val Acc: 0.9417, Val Loss: 0.2623, Test Acc: 0.9393, Test Loss: 0.1971, Learning Rate: 0.005000
2025-11-27 16:50:16 | INFO | root | Epoch: 43, Train Loss: 0.0269, Val Acc: 0.9440, Val Loss: 0.2473, Test Acc: 0.9464, Test Loss: 0.1751, Learning Rate: 0.005000
2025-11-27 16:50:27 | INFO | root | Epoch: 44, Train Loss: 0.0182, Val Acc: 0.9405, Val Loss: 0.2797, Test Acc: 0.9452, Test Loss: 0.2033, Learning Rate: 0.005000
2025-11-27 16:50:38 | INFO | root | Epoch: 45, Train Loss: 0.0227, Val Acc: 0.9405, Val Loss: 0.2614, Test Acc: 0.9369, Test Loss: 0.2184, Learning Rate: 0.005000
2025-11-27 16:50:49 | INFO | root | Epoch: 46, Train Loss: 0.0219, Val Acc: 0.9417, Val Loss: 0.2610, Test Acc: 0.9452, Test Loss: 0.2127, Learning Rate: 0.005000
2025-11-27 16:51:00 | INFO | root | Epoch: 47, Train Loss: 0.0161, Val Acc: 0.9381, Val Loss: 0.2750, Test Acc: 0.9452, Test Loss: 0.1929, Learning Rate: 0.005000
2025-11-27 16:51:11 | INFO | root | Epoch: 48, Train Loss: 0.0224, Val Acc: 0.9452, Val Loss: 0.2537, Test Acc: 0.9464, Test Loss: 0.1904, Learning Rate: 0.005000
2025-11-27 16:51:22 | INFO | root | Epoch: 49, Train Loss: 0.0189, Val Acc: 0.9405, Val Loss: 0.2870, Test Acc: 0.9429, Test Loss: 0.2212, Learning Rate: 0.005000
2025-11-27 16:51:32 | INFO | root | Epoch: 50, Train Loss: 0.0186, Val Acc: 0.9357, Val Loss: 0.2669, Test Acc: 0.9500, Test Loss: 0.1986, Learning Rate: 0.005000
2025-11-27 16:51:32 | INFO | root | Early stopping at epoch 50 (no improvement in 20 epochs). Best Val Loss: 0.2304
2025-11-27 16:51:33 | INFO | root | Test Acc: 0.9298, Test Loss: 0.2707
2025-11-27 16:51:33 | INFO | root | Acc: 0.9298±0.0000, Loss: 0.2707±0.0000
