2025-11-27 18:19:42 | INFO | root | Epoch: 36, Train Loss: 0.1797, Val Acc: 0.9238, Val Loss: 0.2750, Test Acc: 0.9202, Test Loss: 0.2608, Learning Rate: 0.001000
2025-11-27 18:19:55 | INFO | root | Epoch: 37, Train Loss: 0.1766, Val Acc: 0.9238, Val Loss: 0.2736, Test Acc: 0.9226, Test Loss: 0.2610, Learning Rate: 0.001000
2025-11-27 18:20:14 | INFO | root | Epoch: 38, Train Loss: 0.1691, Val Acc: 0.9274, Val Loss: 0.2691, Test Acc: 0.9179, Test Loss: 0.2597, Learning Rate: 0.001000
2025-11-27 18:20:27 | INFO | root | Epoch: 39, Train Loss: 0.1685, Val Acc: 0.9250, Val Loss: 0.2738, Test Acc: 0.9238, Test Loss: 0.2602, Learning Rate: 0.001000
2025-11-27 18:20:42 | INFO | root | Epoch: 40, Train Loss: 0.1576, Val Acc: 0.9345, Val Loss: 0.2625, Test Acc: 0.9298, Test Loss: 0.2488, Learning Rate: 0.001000
2025-11-27 18:21:00 | INFO | root | Epoch: 41, Train Loss: 0.1620, Val Acc: 0.9345, Val Loss: 0.2531, Test Acc: 0.9274, Test Loss: 0.2533, Learning Rate: 0.001000
2025-11-27 18:21:12 | INFO | root | Epoch: 42, Train Loss: 0.1523, Val Acc: 0.9286, Val Loss: 0.2551, Test Acc: 0.9167, Test Loss: 0.2600, Learning Rate: 0.001000
2025-11-27 18:21:24 | INFO | root | Epoch: 43, Train Loss: 0.1468, Val Acc: 0.9310, Val Loss: 0.2501, Test Acc: 0.9250, Test Loss: 0.2449, Learning Rate: 0.001000
2025-11-27 18:21:36 | INFO | root | Epoch: 44, Train Loss: 0.1492, Val Acc: 0.9262, Val Loss: 0.2500, Test Acc: 0.9310, Test Loss: 0.2392, Learning Rate: 0.001000
2025-11-27 18:21:49 | INFO | root | Epoch: 45, Train Loss: 0.1331, Val Acc: 0.9369, Val Loss: 0.2468, Test Acc: 0.9274, Test Loss: 0.2339, Learning Rate: 0.001000
2025-11-27 18:22:07 | INFO | root | Epoch: 46, Train Loss: 0.1352, Val Acc: 0.9345, Val Loss: 0.2519, Test Acc: 0.9226, Test Loss: 0.2428, Learning Rate: 0.001000
2025-11-27 18:22:22 | INFO | root | Epoch: 47, Train Loss: 0.1330, Val Acc: 0.9357, Val Loss: 0.2508, Test Acc: 0.9119, Test Loss: 0.2474, Learning Rate: 0.001000
2025-11-27 18:22:39 | INFO | root | Epoch: 48, Train Loss: 0.1308, Val Acc: 0.9310, Val Loss: 0.2512, Test Acc: 0.9262, Test Loss: 0.2491, Learning Rate: 0.001000
2025-11-27 18:22:55 | INFO | root | Epoch: 49, Train Loss: 0.1273, Val Acc: 0.9286, Val Loss: 0.2524, Test Acc: 0.9179, Test Loss: 0.2474, Learning Rate: 0.001000
2025-11-27 18:23:13 | INFO | root | Epoch: 50, Train Loss: 0.1189, Val Acc: 0.9298, Val Loss: 0.2516, Test Acc: 0.9238, Test Loss: 0.2394, Learning Rate: 0.001000
