section,dataset,model,condition,endpoint,scope,seed,value_pp
main_pgd,seediv,tsception,trades,PGD,full_test,43,0.37184594953519257
main_pgd,seediv,tsception,trades,PGD,full_test,44,0.5046480743691899
main_pgd,seediv,tsception,trades,PGD,full_test,45,0.4249667994687915
main_pgd,seediv,tsception,trades,PGD,full_test,46,0.6640106241699867
main_pgd,seediv,tsception,fbf,PGD,full_test,42,3.2934926958831343
main_pgd,seediv,tsception,fbf,PGD,full_test,43,3.054448871181939
main_pgd,seediv,tsception,fbf,PGD,full_test,44,3.5059760956175303
main_pgd,seediv,tsception,fbf,PGD,full_test,45,3.691899070385126
main_pgd,seediv,tsception,fbf,PGD,full_test,46,4.249667994687915
main_pgd,seediv,tsception,ea_forward,PGD,full_test,42,26.693227091633464
main_pgd,seediv,tsception,ea_forward,PGD,full_test,43,27.091633466135455
main_pgd,seediv,tsception,ea_forward,PGD,full_test,44,27.03851261620186
main_pgd,seediv,tsception,ea_forward,PGD,full_test,45,27.171314741035857
main_pgd,seediv,tsception,ea_forward,PGD,full_test,46,27.25099601593626
main_pgd,seediv,tsception,RPCF+TNP-r25,PGD,subset_n512,42,34.765625
main_pgd,seediv,tsception,RPCF+TNP-r25,PGD,subset_n512,43,34.1796875
main_pgd,seediv,tsception,RPCF+TNP-r25,PGD,subset_n512,44,33.203125
main_pgd,seediv,tsception,RPCF+TNP-r25,PGD,subset_n512,45,41.015625
main_pgd,seediv,tsception,RPCF+TNP-r25,PGD,subset_n512,46,34.9609375
main_pgd,seediv,tsception,RPCF+TNP-r30,PGD,subset_n512,42,33.59375
main_pgd,seediv,tsception,RPCF+TNP-r30,PGD,subset_n512,43,34.9609375
main_pgd,seediv,tsception,RPCF+TNP-r30,PGD,subset_n512,44,31.8359375
main_pgd,seediv,tsception,RPCF+TNP-r30,PGD,subset_n512,45,41.2109375
main_pgd,seediv,tsception,RPCF+TNP-r30,PGD,subset_n512,46,35.7421875
main_pgd,seediv,atcnet,madry,PGD,full_test,42,28.286852589641438
main_pgd,seediv,atcnet,madry,PGD,full_test,43,29.482071713147413
main_pgd,seediv,atcnet,madry,PGD,full_test,44,29.136786188579016
main_pgd,seediv,atcnet,madry,PGD,full_test,45,30.092961487383796
main_pgd,seediv,atcnet,madry,PGD,full_test,46,27.649402390438247
main_pgd,seediv,atcnet,trades,PGD,full_test,42,1.8061088977423638
main_pgd,seediv,atcnet,trades,PGD,full_test,43,2.098273572377158
main_pgd,seediv,atcnet,trades,PGD,full_test,44,1.5139442231075697
main_pgd,seediv,atcnet,trades,PGD,full_test,45,2.0185922974767596
main_pgd,seediv,atcnet,trades,PGD,full_test,46,1.9389110225763613
main_pgd,seediv,atcnet,fbf,PGD,full_test,42,6.00265604249668
main_pgd,seediv,atcnet,fbf,PGD,full_test,43,6.374501992031872
main_pgd,seediv,atcnet,fbf,PGD,full_test,44,5.126162018592297
main_pgd,seediv,atcnet,fbf,PGD,full_test,45,6.108897742363878
main_pgd,seediv,atcnet,fbf,PGD,full_test,46,6.162018592297477
main_pgd,seediv,atcnet,ea_forward,PGD,full_test,42,6.932270916334661
