comparison,dataset,model,method,attack,scope,rank,metric,seed_count,mean_delta_pp,sample_std_pp,positive_seeds
rpcf_minus_madry,seediv,deepconvnet,rpcf_at,pgd,full_test,raw,clean,5,0.3824701195219127,0.5592215322383893,4
rpcf_minus_madry,seediv,deepconvnet,rpcf_at,pgd,full_test,raw,robust,5,-3.102257636122178,0.8837879136503768,0
rpcf_minus_madry,seediv,deepconvnet,rpcf_at,cw,full_test,raw,clean,5,0.3824701195219127,0.5592215322383893,4
rpcf_minus_madry,seediv,deepconvnet,rpcf_at,cw,full_test,raw,robust,5,0.058432934926958835,0.11015373892869973,2
rpcf_minus_madry,seediv,tsception,rpcf_at,autoattack,full_test,raw,clean,5,0.41965471447543257,0.8962716919598765,3
rpcf_minus_madry,seediv,tsception,rpcf_at,autoattack,full_test,raw,robust,5,-0.9827357237715806,0.5980520716705295,0
rpcf_minus_madry,seediv,tsception,rpcf_at,fgsm,full_test,raw,clean,5,0.41965471447543257,0.8962716919598765,3
rpcf_minus_madry,seediv,tsception,rpcf_at,fgsm,full_test,raw,robust,5,-0.9455511288180607,0.6599076423770269,0
rpcf_minus_madry,seediv,tsception,rpcf_at,pgd,full_test,raw,clean,5,0.41965471447543257,0.8962716919598765,3
rpcf_minus_madry,seediv,tsception,rpcf_at,pgd,full_test,raw,robust,5,-1.0039840637450204,0.718458267974493,0
rpcf_minus_madry,seediv,tsception,rpcf_at,cw,full_test,raw,clean,5,0.41965471447543257,0.8962716919598765,3
rpcf_minus_madry,seediv,tsception,rpcf_at,cw,full_test,raw,robust,5,-0.042496679946879154,0.08314728203186468,1
rpcf_minus_madry,seediv,atcnet,rpcf_at,autoattack,full_test,raw,clean,5,0.042496679946878446,0.4301641018838913,2
rpcf_minus_madry,seediv,atcnet,rpcf_at,autoattack,full_test,raw,robust,5,-0.7808764940239044,0.2864342037618693,0
rpcf_minus_madry,seediv,atcnet,rpcf_at,fgsm,full_test,raw,clean,5,0.042496679946878446,0.4301641018838913,2
rpcf_minus_madry,seediv,atcnet,rpcf_at,fgsm,full_test,raw,robust,5,-0.6852589641434248,0.3048090847903277,0
rpcf_minus_madry,seediv,atcnet,rpcf_at,pgd,full_test,raw,clean,5,0.042496679946878446,0.4301641018838913,2
